1000292,Embarcacion,-23.21003,-64.09965,AR,23961,292
1000293,Embalse,-32.18,-64.41809,AR,15900,561
1000294,El Bolson,-41.96051,-71.53336,AR,15537,320
1000295,Diamante,-32.06641,-60.63837,AR,19545,71
1000296,Dean Funes,-30.42036,-64.34984,AR,20164,691
1000297,Cutral-Co,-38.93424,-69.23052,AR,47380,613
1000298,Cruz del Eje,-30.72644,-64.80387,AR,28166,465
1000299,Crespo,-32.02873,-60.30658,AR,18296,109
1000300,Cosquin,-31.24508,-64.46563,AR,19070,707
1000301,Coronel Suarez,-37.45467,-61.93343,AR,27000,239
1000302,Coronda,-31.97263,-60.91983,AR,16975,19
1000303,Cordoba,-31.4135,-64.18105,AR,1428214,395
1000304,Comodoro Rivadavia,-45.86413,-67.49656,AR,140850,65
1000305,Cipolletti,-38.93392,-67.99032,AR,75078,267
1000306,Cinco Saltos,-38.82225,-68.06293,AR,19819,288
1000307,Chivilcoy,-34.89566,-60.01667,AR,54514,60
1000308,Chimbas,-31.48333,-68.53333,AR,73829,642
1000309,Chilecito,-29.16195,-67.4974,AR,42248,1125
1000310,Charata,-27.21438,-61.18795,AR,27813,98
1000311,Chacabuco,-34.64167,-60.47389,AR,34587,73
1000312,Centenario,-38.82955,-68.1318,AR,28956,292
1000313,Caucete,-31.65179,-68.28105,AR,33609,578
1000314,Catriel,-37.87907,-67.7956,AR,15169,323
1000315,Castelli,-25.94679,-60.61947,AR,36588,113
1000316,Casilda,-33.04417,-61.16806,AR,32002,79
1000317,Carcarana,-32.85679,-61.15331,AR,15619,59
1000318,Capitan Bermudez,-32.82262,-60.71852,AR,27060,35
1000319,Canada de Gomez,-32.81636,-61.39493,AR,36000,93
1000320,Caleta Olivia,-46.43929,-67.52814,AR,36077,17
1000321,Bell Ville,-32.62591,-62.68873,AR,35105,132
1000322,Bella Vista,-27.03424,-65.30196,AR,15126,366
1000323,Bahia Blanca,-38.71959,-62.27243,AR,276546,24
1000324,Arroyo Seco,-33.15489,-60.50863,AR,20008,29
1000325,Arroyito,-31.42022,-63.05002,AR,19577,154
1000326,Anatuya,-28.46064,-62.83472,AR,20261,111
1000327,Alta Gracia,-31.65292,-64.42826,AR,40384,556
1000328,Allen,-38.97736,-67.82714,AR,26083,258
